time,x,y,alt,utm_epsg
246.729875,583828.0453510628,6148440.176343755,50.0,32632
246.921193,583828.0394550792,6148440.153967787,50.0,32632
247.122728,583828.0396673235,6148440.142840078,50.0,32632
247.320917,583828.0398795677,6148440.131712372,50.0,32632
247.521023,583828.0525205118,6148440.131953478,50.0,32632
247.724078,583828.0462000397,6148440.131832925,50.0,32632
247.922218,583828.0462000397,6148440.131832925,50.0,32632
248.119467,583828.0462000397,6148440.131832925,50.0,32632
248.319967,583828.0462000397,6148440.131832925,50.0,32632
248.50988,583828.0398795677,6148440.131712372,50.0,32632
248.722267,583828.0335590956,6148440.131591817,50.0,32632
248.918907,583828.0272386235,6148440.131471264,50.0,32632
249.118045,583828.0274508676,6148440.120343557,50.0,32632
249.322065,583828.0209181514,6148440.131350711,50.0,32632
249.519883,583828.0143854353,6148440.142357864,50.0,32632
249.720881,583828.0207059073,6148440.142478419,50.0,32632
249.92591,583828.0207059073,6148440.142478419,50.0,32632
250.118339,583828.0207059073,6148440.142478419,50.0,32632
250.31934,583828.014173191,6148440.153485572,50.0,32632
250.513133,583828.014173191,6148440.153485572,50.0,32632
250.723425,583828.014173191,6148440.153485572,50.0,32632
250.920961,583828.020493663,6148440.153606126,50.0,32632
251.114948,583828.020493663,6148440.153606126,50.0,32632
251.319969,583828.0202814189,6148440.164733835,50.0,32632
251.519066,583828.020493663,6148440.153606126,50.0,32632
251.722872,583828.0202814189,6148440.164733835,50.0,32632
251.949497,583828.020493663,6148440.153606126,50.0,32632
252.11941,583828.020493663,6148440.153606126,50.0,32632
252.31803,583828.0331346071,6148440.153847233,50.0,32632
252.523909,583828.0394550792,6148440.153967787,50.0,32632
252.725875,583828.0268141351,6148440.153726679,50.0,32632
252.921357,583828.0333468514,6148440.142719525,50.0,32632
253.133875,583828.0394550792,6148440.153967787,50.0,32632
253.318526,583828.0394550792,6148440.153967787,50.0,32632
253.521088,583828.0394550792,6148440.153967787,50.0,32632
253.714303,583828.0394550792,6148440.153967787,50.0,32632
253.933878,583828.0457755512,6148440.15408834,50.0,32632
254.127897,583828.0457755512,6148440.15408834,50.0,32632
254.323341,583828.0394550792,6148440.153967787,50.0,32632
254.521876,583828.0523082676,6148440.143081185,50.0,32632
254.721879,583828.0523082676,6148440.143081185,50.0,32632
254.920728,583828.0586287396,6148440.14320174,50.0,32632
255.114311,583828.0586287396,6148440.14320174,50.0,32632
