x,y,alt,utm_epsg
583827.3568518518,6148474.615996399,50.0,32632
583827.5981830191,6148473.897035292,50.0,32632
583827.7379629754,6148473.198400756,50.0,32632
583827.782936588,6148472.497957923,50.0,32632
583827.7141425322,6148471.795345127,50.0,32632
583827.5320052432,6148471.068306961,50.0,32632
583827.2742349897,6148470.32869446,50.0,32632
583826.580873174,6148468.89060489,50.0,32632
583824.4703161127,6148465.510823246,50.0,32632
583824.1036119051,6148464.847055576,50.0,32632
583823.5094650253,6148463.51104466,50.0,32632
583823.269169281,6148462.849688009,50.0,32632
583822.9166842495,6148461.440364014,50.0,32632
583822.7097814018,6148460.022684902,50.0,32632
583822.6101137401,6148458.618182789,50.0,32632
583822.6324183567,6148455.791142264,50.0,32632
583822.8626814759,6148451.342831707,50.0,32632
583823.245531387,6148446.51895169,50.0,32632
583823.3411814274,6148443.492938489,50.0,32632
583823.4324269941,6148443.349965946,50.0,32632
583823.4250453629,6148443.405483936,50.0,32632
583823.488462269,6148443.395561697,50.0,32632
583823.8291773489,6148443.101502593,50.0,32632
583825.9281117802,6148440.7927347,50.0,32632
583826.2941091082,6148440.499157986,50.0,32632
583826.4131368666,6148440.557086993,50.0,32632
583826.3529035115,6148440.400093576,50.0,32632
583826.2875763967,6148440.510165142,50.0,32632
583826.1535730581,6148440.57439982,50.0,32632
583826.1455546711,6148440.66330093,50.0,32632
